ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Ratings,Date,Summary
B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,4/27/2011,Good Quality Dog Food
B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,9/7/2012,Not as Advertised
B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,8/18/2008,"""Delight"" says it all"
B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,6/13/2011,Cough Medicine
B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,10/21/2012,Great taffy
B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,7/12/2012,Nice Taffy
B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,6/20/2012,Great!  Just as good as the expensive brands!
B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,5/3/2012,"Wonderful, tasty taffy"
B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,11/23/2011,Yay Barley
B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,10/26/2012,Healthy Dog Food
B0001PB9FE,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,2/8/2005,The Best Hot Sauce in the World
B0009XLVG0,A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",4,4,5,8/27/2010,"My cats LOVE this ""diet"" food better than their regular food"
B0009XLVG0,A327PCT23YH90,LT,1,1,1,6/13/2012,My Cats Are Not Fans of the New Food
B001GVISJM,A18ECVX2RJ7HUE,"willie ""roadie""",2,2,4,11/5/2010,fresh and greasy!
B001GVISJM,A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",4,5,5,3/12/2010,Strawberry Twizzlers - Yummy
B001GVISJM,A1CZX3CP8IKQIJ,Brian A. Lee,4,5,5,12/29/2009,"Lots of twizzlers, just what you expect."
